iter	Passed	Remaining
404	8213	12066
405	8234	12047
406	8256	12029
407	8275	12008
408	8296	11988
409	8320	11972
410	8340	11952
411	8357	11928
412	8375	11904
413	8394	11881
414	8414	11861
415	8431	11836
416	8451	11815
417	8475	11800
418	8493	11778
419	8517	11762
420	8537	11741
421	8555	11718
422	8573	11695
423	8592	11672
424	8615	11656
425	8633	11633
426	8656	11616
427	8678	11598
428	8697	11575
429	8716	11554
430	8735	11532
431	8753	11509
432	8771	11485
433	8793	11468
434	8814	11449
435	8835	11428
436	8854	11407
437	8873	11385
438	8891	11362
439	8913	11344
440	8933	11324
441	8951	11300
442	8970	11279
443	8991	11259
444	9010	11238
445	9029	11215
446	9048	11194
447	9066	11171
448	9084	11148
449	9104	11128
450	9123	11106
451	9144	11086
452	9163	11064
453	9183	11044
454	9207	11028
455	9221	11000
456	9245	10985
457	9263	10962
458	9281	10939
459	9300	10918
460	9319	10896
461	9341	10878
462	9361	10857
463	9379	10834
464	9400	10815
465	9423	10798
466	9446	10781
467	9471	10766
468	9489	10744
469	9508	10722
470	9527	10700
471	9546	10679
472	9566	10659
473	9586	10637
474	9605	10616
475	9624	10595
476	9650	10580
477	9672	10563
478	9692	10541
479	9710	10519
480	9731	10500
481	9751	10480
482	9771	10459
483	9789	10436
484	9806	10413
485	9825	10391
486	9855	10381
487	9875	10361
488	9897	10343
489	9916	10321
490	9937	10301
491	9956	10279
492	9973	10256
493	9992	10235
494	10010	10212
495	10030	10192
496	10055	10176
497	10076	10157
498	10098	10138
499	10116	10116
500	10135	10094
501	10152	10071
502	10170	10049
503	10190	10028
504	10212	10010
505	10236	9993
506	10262	9978
507	10284	9960
508	10311	9947
509	10333	9928
510	10352	9906
511	10371	9885
512	10391	9865
513	10409	9842
514	10429	9821
515	10447	9799
516	10470	9781
517	10496	9767
518	10516	9746
519	10534	9724
520	10556	9705
521	10576	9684
522	10595	9663
523	10616	9644
524	10639	9625
525	10661	9607
526	10681	9586
527	10700	9565
528	10726	9550
529	10747	9530
530	10765	9508
531	10788	9491
532	10807	9469
533	10826	9448
534	10847	9428
535	10866	9407
536	10888	9387
537	10912	9371
538	10931	9349
539	10954	9331
540	10973	9310
541	10991	9288
542	11010	9266
543	11028	9244
544	11051	9226
545	11072	9206
546	11092	9186
547	11111	9164
548	11130	9143
549	11152	9124
550	11170	9102
551	11189	9081
552	11207	9059
553	11230	9040
554	11252	9021
555	11270	9000
556	11293	8981
557	11317	8964
558	11336	8943
559	11354	8921
560	11371	8898
561	11388	8876
562	11407	8854
563	11425	8832
564	11447	8813
565	11471	8796
566	11497	8780
567	11517	8759
568	11536	8738
569	11554	8716
570	11573	8695
571	11590	8672
572	11609	8651
573	11629	8630
574	11649	8610
575	11668	8589
576	11698	8575
577	11720	8556
578	11741	8537
579	11761	8516
580	11780	8495
581	11797	8473
582	11817	8452
583	11837	8431
584	11855	8410
585	11878	8391
586	11901	8373
587	11925	8356
588	11946	8336
589	11969	8318
590	11996	8302
591	12021	8285
592	12048	8269
593	12069	8249
594	12090	8229
595	12113	8211
596	12132	8190
597	12153	8169
598	12174	8150
599	12192	8128
600	12214	8109
601	12240	8092
602	12260	8071
603	12282	8052
604	12306	8034
605	12326	8013
606	12345	7992
607	12363	7971
608	12379	7947
609	12396	7925
610	12413	7902
611	12431	7881
612	12449	7859
613	12469	7838
614	12486	7816
615	12504	7794
616	12521	7772
617	12540	7751
618	12561	7731
619	12581	7711
620	12604	7692
621	12625	7672
622	12642	7650
623	12660	7628
624	12677	7606
625	12697	7586
626	12714	7564
627	12733	7543
628	12753	7522
629	12769	7499
630	12785	7476
631	12802	7454
632	12820	7432
633	12837	7410
634	12856	7389
635	12873	7367
636	12890	7345
637	12908	7324
638	12925	7302
639	12941	7279
640	12962	7259
641	12980	7238
642	12997	7216
643	13016	7195
644	13033	7173
645	13050	7151
646	13068	7129
647	13087	7109
648	13104	7087
649	13122	7065
650	13139	7044
651	13156	7022
652	13175	7001
653	13194	6980
654	13212	6959
655	13231	6938
656	13248	6916
657	13265	6895
658	13282	6872
659	13299	6851
660	13316	6829
661	13332	6807
662	13350	6785
663	13369	6765
664	13390	6745
665	13409	6724
666	13429	6704
667	13448	6683
668	13466	6662
669	13483	6641
670	13500	6619
671	13519	6598
672	13534	6576
673	13551	6554
674	13568	6533
675	13589	6513
676	13609	6493
677	13629	6472
678	13649	6452
679	13666	6431
680	13688	6412
681	13706	6391
682	13725	6370
683	13743	6349
684	13761	6328
685	13786	6310
686	13813	6293
687	13835	6274
688	13870	6260
689	13896	6243
690	13927	6228
691	13957	6212
692	13987	6196
693	14021	6182
694	14046	6164
695	14062	6142
696	14083	6122
697	14102	6101
698	14121	6080
699	14139	6059
700	14157	6038
701	14174	6017
702	14190	5995
703	14210	5975
704	14230	5954
705	14252	5935
706	14270	5913
707	14288	5893
708	14307	5872
709	14326	5851
710	14345	5831
711	14362	5809
712	14379	5788
713	14394	5765
714	14415	5746
715	14435	5725
716	14461	5708
717	14482	5687
718	14500	5666
719	14518	5646
720	14536	5624
721	14557	5605
722	14580	5586
723	14602	5566
724	14629	5549
725	14652	5529
726	14680	5512
727	14705	5494
728	14731	5476
729	14750	5455
730	14771	5435
731	14797	5417
732	14820	5398
733	14845	5380
734	14866	5359
735	14886	5339
736	14908	5320
737	14927	5299
738	14945	5278
739	14962	5256
740	14979	5235
741	14996	5214
742	15014	5193
743	15035	5173
744	15053	5152
745	15073	5132
746	15095	5112
747	15115	5092
748	15133	5071
749	15149	5049
750	15166	5028
751	15182	5006
752	15202	4986
753	15220	4965
754	15239	4945
755	15259	4925
756	15279	4904
757	15301	4885
758	15321	4864
759	15340	4844
760	15357	4823
761	15375	4802
762	15393	4781
763	15410	4760
764	15433	4741
765	15450	4719
766	15470	4699
767	15488	4678
768	15508	4658
769	15529	4638
770	15547	4617
771	15564	4596
772	15584	4576
773	15603	4556
774	15621	4535
775	15640	4514
776	15659	4494
777	15673	4472
778	15693	4452
779	15711	4431
780	15732	4411
781	15750	4390
782	15770	4370
783	15788	4349
784	15806	4329
785	15826	4308
786	15844	4288
787	15860	4267
788	15878	4246
789	15897	4225
790	15917	4205
791	15936	4185
792	15953	4164
793	15968	4142
794	15985	4122
795	16004	4101
796	16024	4081
797	16042	4060
798	16061	4040
799	16079	4019
800	16098	3999
801	16116	3978
802	16136	3958
803	16156	3938
804	16170	3917
805	16189	3896
806	16208	3876
807	16225	3855
808	16243	3834
809	16262	3814
810	16280	3794
811	16300	3774
812	16321	3754
813	16339	3733
814	16358	3713
815	16374	3692
816	16393	3671
817	16411	3651
818	16430	3631
819	16449	3610
820	16469	3590
821	16486	3570
822	16504	3549
823	16522	3529
824	16541	3508
825	16557	3487
826	16574	3467
827	16593	3446
828	16611	3426
829	16633	3406
830	16652	3386
831	16670	3366
832	16690	3346
833	16708	3325
834	16727	3305
835	16748	3285
836	16764	3264
837	16782	3244
838	16800	3223
839	16819	3203
840	16836	3183
841	16855	3162
842	16873	3142
843	16896	3122
844	16916	3103
845	16935	3082
846	16954	3062
847	16970	3041
848	16989	3021
849	17007	3001
850	17028	2981
851	17047	2961
852	17065	2941
853	17085	2920
854	17102	2900
855	17120	2880
856	17139	2859
857	17159	2839
858	17177	2819
859	17195	2799
860	17214	2779
861	17234	2759
862	17256	2739
863	17278	2719
864	17303	2700
865	17323	2680
866	17343	2660
867	17363	2640
868	17383	2620
869	17401	2600
870	17423	2580
871	17442	2560
872	17460	2540
873	17480	2520
874	17497	2499
875	17514	2479
876	17531	2458
877	17552	2438
878	17571	2418
879	17589	2398
880	17607	2378
881	17625	2358
882	17645	2338
883	17663	2317
884	17683	2297
885	17703	2277
886	17720	2257
887	17738	2237
888	17755	2216
889	17774	2196
890	17792	2176
891	17810	2156
892	17828	2136
893	17848	2116
894	17869	2096
895	17887	2076
896	17906	2056
897	17923	2035
898	17941	2015
899	17964	1996
900	17985	1976
901	18004	1956
902	18022	1935
903	18041	1915
904	18058	1895
905	18079	1875
906	18102	1856
907	18121	1836
908	18140	1816
909	18159	1795
910	18181	1776
911	18202	1756
912	18220	1736
913	18240	1716
914	18258	1696
915	18277	1676
916	18300	1656
917	18318	1636
918	18335	1616
919	18352	1595
920	18372	1575
921	18394	1556
922	18414	1536
923	18434	1516
924	18451	1496
925	18470	1476
926	18488	1455
927	18507	1435
928	18524	1415
929	18543	1395
930	18560	1375
931	18578	1355
932	18598	1335
933	18617	1315
934	18636	1295
935	18656	1275
936	18676	1255
937	18697	1235
938	18715	1215
939	18733	1195
940	18749	1175
941	18771	1155
942	18793	1136
943	18813	1116
944	18833	1096
945	18851	1076
946	18870	1056
947	18887	1036
948	18906	1016
949	18925	996
950	18941	975
951	18960	955
952	18978	935
953	18997	916
954	19015	896
955	19040	876
956	19059	856
957	19077	836
958	19095	816
959	19112	796
960	19130	776
961	19147	756
962	19168	736
963	19190	716
964	19208	696
965	19229	676
966	19249	656
967	19271	637
968	19289	617
969	19306	597
970	19324	577
971	19341	557
972	19359	537
973	19377	517
974	19397	497
975	19415	477
976	19439	457
977	19460	437
978	19477	417
979	19495	397
980	19512	377
981	19529	357
982	19546	338
983	19566	318
984	19585	298
985	19603	278
986	19622	258
987	19641	238
988	19666	218
989	19686	198
990	19703	178
991	19722	159
992	19738	139
993	19754	119
994	19772	99
995	19791	79
996	19810	59
997	19829	39
998	19851	19
999	19870	0
